                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.98134,                 0.6272,                 1.2419,                0.87144,                0.87126,                0.91305,                0.60686,                 1.1819,                0.56148,                 1.4207,               0.004159,               0.004159,               0.004159
                     62,                0.97014,                0.62141,                 1.2426,                0.87374,                0.88308,                0.91047,                0.60328,                 1.1825,                0.55974,                 1.4249,                0.00406,                0.00406,                0.00406
                     63,                0.96808,                0.61833,                  1.233,                0.86365,                0.87811,                0.91199,                0.60122,                 1.1862,                0.55846,                 1.4362,               0.003961,               0.003961,               0.003961
                     64,                0.95326,                  0.605,                 1.2243,                0.88103,                0.87045,                 0.9122,                0.60512,                 1.1819,                0.55145,                 1.4341,               0.003862,               0.003862,               0.003862
                     65,                0.95355,                0.60463,                 1.2303,                0.87566,                0.86846,                0.91199,                0.60448,                 1.1809,                0.54877,                 1.4338,               0.003763,               0.003763,               0.003763
                     66,                0.95392,                0.60064,                 1.2169,                0.86939,                0.87983,                0.91547,                0.60684,                 1.1772,                0.54852,                 1.4276,               0.003664,               0.003664,               0.003664
                     67,                0.93677,                0.58908,                 1.2114,                0.85258,                0.88064,                0.90853,                0.60424,                 1.1733,                0.54766,                 1.4236,               0.003565,               0.003565,               0.003565
                     68,                0.93401,                0.59119,                 1.2102,                0.86892,                0.87458,                0.91077,                0.60929,                 1.1692,                0.54971,                  1.414,               0.003466,               0.003466,               0.003466
                     69,                0.92371,                0.58058,                  1.204,                0.86083,                0.87113,                0.90867,                0.60963,                 1.1643,                 0.5467,                 1.4133,               0.003367,               0.003367,               0.003367
                     70,                0.91657,                0.57558,                 1.2027,                0.86795,                0.87556,                0.90904,                0.61021,                 1.1613,                0.54322,                 1.4131,               0.003268,               0.003268,               0.003268
                     71,                0.91506,                 0.5787,                 1.2027,                0.85535,                0.87073,                0.90756,                0.60868,                 1.1604,                0.54384,                 1.4158,               0.003169,               0.003169,               0.003169
                     72,                0.90271,                0.56628,                 1.1974,                  0.874,                0.84986,                0.90935,                0.60993,                 1.1605,                0.54291,                 1.4162,                0.00307,                0.00307,                0.00307
                     73,                0.89762,                0.56158,                 1.1858,                0.85649,                0.87921,                0.91107,                0.61299,                 1.1591,                0.54029,                 1.4132,               0.002971,               0.002971,               0.002971
                     74,                0.88442,                0.55674,                 1.1737,                0.86386,                0.87711,                0.91047,                0.61076,                  1.158,                0.53767,                 1.4089,               0.002872,               0.002872,               0.002872
                     75,                0.87644,                0.55405,                 1.1694,                 0.8731,                0.87161,                0.91016,                0.61231,                 1.1581,                0.53717,                 1.4106,               0.002773,               0.002773,               0.002773
                     76,                0.87458,                0.55275,                 1.1705,                0.86994,                0.87714,                0.91034,                0.61521,                 1.1566,                0.53613,                 1.4116,               0.002674,               0.002674,               0.002674
                     77,                 0.8638,                0.54885,                 1.1643,                0.86832,                0.87154,                0.90979,                0.61535,                 1.1568,                0.53829,                 1.4126,               0.002575,               0.002575,               0.002575
                     78,                0.86022,                0.53739,                  1.168,                 0.8654,                0.87909,                0.91052,                0.61662,                 1.1528,                0.53908,                 1.4121,               0.002476,               0.002476,               0.002476
                     79,                0.86172,                0.53083,                 1.1577,                0.87096,                0.87036,                0.90987,                0.61719,                  1.151,                0.53929,                 1.4112,               0.002377,               0.002377,               0.002377
                     80,                0.85116,                0.52792,                 1.1539,                0.85705,                0.88861,                 0.9117,                0.61574,                 1.1504,                0.53965,                 1.4098,               0.002278,               0.002278,               0.002278
                     81,                0.84399,                0.52487,                 1.1473,                 0.8547,                 0.8858,                0.91129,                0.61625,                 1.1495,                0.53971,                 1.4098,               0.002179,               0.002179,               0.002179
                     82,                0.83941,                0.52493,                 1.1487,                0.87508,                 0.8667,                0.91165,                 0.6185,                 1.1487,                0.53794,                 1.4093,                0.00208,                0.00208,                0.00208
                     83,                0.83389,                0.51527,                 1.1393,                0.87478,                0.87254,                0.91197,                 0.6195,                 1.1465,                0.53809,                 1.4084,               0.001981,               0.001981,               0.001981
                     84,                0.82061,                0.51266,                 1.1401,                0.87472,                0.88013,                0.91129,                0.61948,                 1.1433,                0.53733,                 1.4097,               0.001882,               0.001882,               0.001882
                     85,                  0.818,                0.51448,                 1.1378,                0.87435,                0.87913,                0.91172,                0.62067,                 1.1415,                 0.5374,                 1.4112,               0.001783,               0.001783,               0.001783
                     86,                 0.8117,                0.50424,                 1.1297,                0.85781,                0.89126,                0.91131,                 0.6204,                 1.1405,                0.53676,                 1.4133,               0.001684,               0.001684,               0.001684
                     87,                0.79922,                0.49572,                 1.1238,                0.86012,                0.89218,                 0.9101,                0.62214,                 1.1399,                0.53664,                  1.416,               0.001585,               0.001585,               0.001585
                     88,                0.79493,                0.49677,                 1.1213,                0.87102,                0.88481,                0.91126,                0.62317,                 1.1393,                0.53487,                 1.4166,               0.001486,               0.001486,               0.001486
                     89,                0.78515,                0.48685,                 1.1177,                0.86651,                0.89376,                0.91188,                0.62453,                 1.1385,                0.53492,                 1.4181,               0.001387,               0.001387,               0.001387
                     90,                0.78443,                 0.4879,                 1.1174,                 0.8766,                0.87956,                 0.9117,                0.62275,                 1.1375,                0.53429,                 1.4194,               0.001288,               0.001288,               0.001288
                     91,                0.77441,                0.39025,                 1.1124,                 0.8695,                0.88662,                0.91264,                0.62196,                 1.1368,                0.53329,                 1.4195,               0.001189,               0.001189,               0.001189
                     92,                0.75145,                0.37601,                 1.0993,                0.88237,                0.87224,                0.91156,                0.62157,                 1.1361,                 0.5327,                 1.4204,                0.00109,                0.00109,                0.00109
                     93,                0.73576,                0.37011,                 1.0847,                0.87523,                 0.8786,                0.91261,                0.62264,                 1.1355,                0.53325,                 1.4209,               0.000991,               0.000991,               0.000991
                     94,                0.71964,                0.36284,                 1.0757,                0.87179,                0.88043,                0.91334,                0.62304,                 1.1355,                0.53407,                 1.4221,               0.000892,               0.000892,               0.000892
                     95,                0.71354,                0.35806,                 1.0785,                0.87328,                0.88443,                0.91269,                0.62416,                 1.1355,                0.53459,                 1.4241,               0.000793,               0.000793,               0.000793
                     96,                0.69962,                0.35091,                 1.0697,                0.87359,                0.88314,                 0.9131,                0.62414,                 1.1351,                 0.5347,                 1.4257,               0.000694,               0.000694,               0.000694
                     97,                0.69495,                0.34905,                 1.0662,                0.87298,                0.88151,                0.91306,                0.62445,                  1.134,                0.53474,                 1.4268,               0.000595,               0.000595,               0.000595
                     98,                0.69087,                0.35043,                 1.0594,                0.87136,                0.88116,                0.91349,                0.62563,                 1.1332,                0.53527,                  1.427,               0.000496,               0.000496,               0.000496
                     99,                0.68192,                0.34465,                 1.0508,                0.87126,                0.87953,                0.91324,                0.62587,                  1.132,                0.53501,                 1.4266,               0.000397,               0.000397,               0.000397
                    100,                0.67286,                0.33729,                 1.0474,                 0.8719,                0.87796,                0.91352,                0.62687,                 1.1317,                0.53591,                 1.4272,               0.000298,               0.000298,               0.000298
